etapa,providencia,area,enquadramento,objetivos,ficha_tecnica,situacao,outras_fontes,acessibilidade,sinopse,nome,cgccpf,mecanismo,segmento,PRONAC,estrategia_execucao,valor_aprovado,justificativa,resumo,valor_solicitado,especificacao_tecnica,municipio,data_termino,UF,impacto_ambiental,democratizacao,valor_projeto,proponente,ano_projeto,data_inicio,valor_captado,valor_proposta
"Pré-produção: Formação de equipe, definição da pauta contato com artistas convidados e com escolas públicas onde serão realizadas as oficinas e a exposição itinerante, contratação de fornecedores - Pe","Encaminhado of. nº 6353/2009/COAPRO solicitando: Cronograma de execução.01/10/2009.","Artes Integradas","Artigo 18","Realizar um festival em Araguari, em espaços públicos como praças e escolas da rede pública. A programação estará baseada em música instrumental, artes cênicas (teatro e dança) e artes visuais (fotogr","","Aprovado condicionado a apresentação de documentação",0.0,"As apresentações e oficinas acontecerão em espaços públicos, onde as normas da acessibilidade já estão aplicadas.","","ARAGUARI IN FESTIVAL - Festival de Música e Artes do Triângulo Mineiro","***363576**","Mecenato","Artes Integradas","090301","",283714.0,"Araguari é uma cidade de grande riqueza e diversidade cultural, lamentavelmente, não muito fomentada por estar a apenas 20 minutos de Uberlândia, uma das maiores cidades de Minas Gerais. Criar um even","Realização de um circuito cultural na cidade de Araguari, no Triângulo Mineiro, com o propósito de intercâmbio entre artistas, formação de platéias e descoberta de novos talentos. Com espetáculos de música instrumental, artes cênicas (teatro e dança) e uma exposição de artes visuais itinerante entre as 40 escolas públicas do município, procura-se consolidar uma nova realidade cultural do município, despertanto o gosto pela produção e apreciação artística. Quatro escolas públicas terão oficinas.",320843.0,"","Araguari","2009-10-30","MG","","O acesso aos espetáculos será gratuito, em praças públicas. A participação nas oficinas será gratuita, condicionada ao aluno estar matriculado e frequente na rede pública de ensino. A visitação à expo",283714.0,"Gustavo de Oliveira Moreira","09","2009-08-01",0.0,320843.0
"ETAPA INICIO TERMINO 1 Captação de recursos A partir da publicação no D.O.U.   2 Administração do projeto Dezembro de 2009 Setembro de 2010 3 Produção executiva Janeiro de 2010 Julho de 20","Encaminhado of. nº 4957/2009/COAPRO informando o arquivamento do projeto, conforme solicitação do proponente. Em 09/09/2009.","Artes Integradas","Artigo 18","O objetivo deste projeto é realizar uma exposição de 2 meses de duração no Instituto Tomie Ohtake na cidade de São Paulo, contendo cartazes de OSTENGRUPPE, coletivo de designers russos. Por meio do a","","Arquivado",0.0,"PLANO DE ACESSIBILIDADE    O projeto será realizado no Instituto Tomie Ohtake, que garante à população condições de acessibilidade, a pessoas idosas, nos termos do art. 23 da Lei no 10.741, de 1o de o","","OSTENGRUPPE - Cartazes Russos (titulo provisorio)","64023856000165","Mecenato","Artes Integradas","090302","",0.0,"OSTENGRUPPE design bureau foi fundado em 2002 por Eric Beloussov, Igor Gurovich e Anna Naumova. Dmitry Kavko juntou-se ao grupo em 2003 e se tornou o quarto membro do OSTENGRUPPE.  Os projetos da comp","Exposição de aproximadamente 70 cartazes de OSTENGRUPPE, coletivo de designers russos fundado em 2002 por Eric Beloussov, Igor Gurovich, Anna Naumova e Dmitry Kavko.",677000.0,"","São Paulo","2010-09-30","SP","","DEMOCRATIZAÇÃO     -A exposição ficará GRATUITAMENTE aberta a visitação de 3ª a domingo, das 11 às 20 horas. -Durante todo o período expositivo serão realizadas atividades e visitas monitoradas GRATUI",0.0,"Documenta Vídeo Produções Ltda","09","2009-12-15",0.0,677000.0
"Este projeto refere-se a manutenção dos projetos e trabalhos da Companhia Eclipse Cultura e Arte, que será realizado em um período de quinze meses, com preparação física, técnica, criação de figurinos","Ofício n. 1917/2012 - CGAA/DIC/SEFIC/MINC de 14/03/2012 &#x2013; Projeto ARQUIVADO, em conformidade com a Instrução Normativa n. 01 de 09/02/2012, art. 55 e 85.","Artes Cênicas","Artigo 18","Visando estimular e fomentar a reflexão sobre as manifestações artísticas relacionadas à dança de rua temos como objetivo geral do projeto a pesquisa e qualificação profissional dos dançarinos (as) da","","Arquivado - atingiu 24 meses de aprovação sem captação de recursos",0.0,"Projetos Sociais/Sub-grupos: Os projetos sociais da Cia. Eclipse são divulgados através do website e de nossos parceiros e são destinados a crianças/adolescentes e jovens de baixa renda, sem nenhum","","Família Eclipse","07618500000130","Mecenato","Teatro","090303","",736500.0,"A Cia Eclipse Cultura e Arte não possui vínculo com nenhuma entidade e realiza seus projetos através do trabalho voluntário de seus membros e de parcerias conquistadas ao longo de sua história, portan","Apoiar as ações da Cia. Eclipse Cultura e Arte entre maio/2009 a agosto/2010, através da produção de um espetáculo de dança com a ampliação das pesquisas já realizadas, e paralelamente ampliar as ações em andamento (oficinas culturais para crianças/adolescentes e jovens de baixa renda), concluindo o projeto com mostras/apresentações e exibição do espetáculo de dança urbana produzido pela Cia de Dança.",780430.0,"","Hortolândia","2010-08-31","SP","","Para maior clareza nas medidas que irão garantir a democratização do acesso, dividimos em três frentes de Democratização de acordo com as ações que serão desenvolvidas no projeto:   1) Ampliação do nú",736500.0,"Anima Mundo","09","2009-05-04",0.0,775930.0
"I – Pré-produção (04.05 a 31.07.2009)   1 - Escolha do repertório, a partir das composições dos integrantes do grupo GUARARÁ; 2 – Início dos ensaios para confecção dos arranjos feitos pelo grupo sob a","Ofício n. 0614/2012 - CGAA/DIC/SEFIC/MINC de 23/01/2012 &#x2013; Projeto ARQUIVADO, em conformidade com a Instrução Normativa n. 01 de 05/10/2010, art. 50 e 78a.","Música","Artigo 18","Objetivos gerais O objetivo do projeto “Balanceia” é produzir o CD de estréia do grupo GUARARÁ, concretizando com isso o registro fonográfico da criativa performance musical deste multifacetado colet","","Arquivado - atingiu 24 meses de aprovação sem captação de recursos",0.0,"O show de lançamento será numa praça pública, com livre acesso para cadeirantes e a Produção Executiva do projeto fará uma varredura antes do início do evento para verificar se há algum tipo de portad","","CD Balanceia do Projeto Guarará","***842631**","Mecenato","Música Popular Cantada","090304","",205938.7,"Em 2007, as Pesquisadoras de Cultura Popular Brasileira Dani Zulu e Adriane Rivero resolveram criar um núcleo de pesquisa e prática musical, a partir de suas experiências com o Congo do Espírito Santo","O projeto Balanceia vai produzir o CD de estréia do grupo GUARARÁ. Fabricar-se-á 1000 CDs, com a participação de 06 grupos de cultura popular do estado de São Paulo. Serão confeccionados 600 cartazes e um banner e será contratado um Assessor de Imprensa para angariar mídia espontânea. O projeto contará com a participação de cerca de 140 profissionais nas áreas técnica, artística e de serviços.",223617.0,"","São Paulo","2009-08-31","SP","","O projeto Balanceia prevê duas linhas distintas e complementares de Democraticação do acesso aos bens culturais, a saber:   1 - Através da participação dos grupos convidados, os quais, na maioria das",205938.7,"Antônio Carlos Martins Lima","09","2009-05-04",0.0,223617.0
"3 meses antes   2 meses antes- Aprovação do Layout das peças gráficas- Orçamento das gráficas- Impressão do material de divulgação- Aquisição de passagens aéreas   1 mês antes- Finalização dos itens","Encaminhado o Of. nº 0887/2010/CGAPIF, de 27/04/2010, informando o proponente do arquivamento do projeto por sua desistência, conforme alínea j, do art. 49 da Portaria 46 de 13/03/98.","Música","Artigo 26","O Festival Estação Viola faz o público que utiliza o Metrô dar um tempo em seu dia-a-dia corrido, para ouvir música de boa qualidade. A programação, gratuita, reúne diversas gerações de violeiros, que","","Arquivado - solicitação de desistência do proponente",0.0,"Portadores de Deficiência Desde o dia 14/10/2006, em razão do Convênio de Integração Tarifária, firmado entre o Governo do Estado de São Paulo e a Prefeitura do Município de São Paulo, o Bilhete Único","","V FESTIVAL ESTAÇÃO VIOLA - HOMENAGEM AOS MESTRES DA VIOLA.","05424592000192","Mecenato","Música Popular Cantada","090305","",159324.0,"Desde o início, o evento vem de encontro com o interesse da Companhia do Metropolitano de São Paulo (Metrô) de não ser associada tão somente ao transporte. A idéia é que ela possa funcionar também com","O projeto Festival Estação Viola, em 2009 comemora 5 anos de existência, já obteve patrocinio da Secretária de Negócios da Cultura e da Petrobrás, juntamente com o Metrô. O V Festival Estação Viola vai homenagear os grandes mestres de viola, todas as sextas-feiras do mês de agosto de 2009, na Estação Sé do Metrô de São Paulo e na Estação República, exposição do acervo do Museu Tião Carreiro e exposição dos desenhos do artista Davino com o tema Viola e Violeiros, durante todo o mês.",162050.0,"","São Paulo","2009-08-31","SP","","Na Estação Sé o Festival é realizado antes das catracas, o que permite as pessoas que estão na região assistirem gratuitamente. Na Estação República, é preciso ter um bilhete. Não haverá distribuição",159324.0,"Brasil Festeiro Produções Ltda.","09","2009-08-01",0.0,160050.0
"Cada cidade terá 02 Shows: * Show para crianças – fechado com as Prefeituras – horário á tarde * Show para público – venda de ingressos – horário á noite   Pré-produção   Toda a concepção de espetácul","Ofício n. 5039/2011 - CGAA/DIC/SEFIC/MINC de 16/06/2011 &#x2013; Projeto ARQUIVADO, em conformidade com a Instrução Normativa n. 01 de 05/10/2010, art. 50 e 78a","Artes Cênicas","Artigo 18","Objetivo Geral: Produzir  inédito espetáculo  cênico sobre patins voltado ao público infantil, a partir de adaptação da Fábula João e Maria, tendo como protagonista Marcel Stürmer – bicampeão Pan Amer","","Arquivado - por excesso de prazo sem captação",0.0,"Os espetáculos serão realizados em Ginásios pela necessidade de espaço para conciliar a interpretação com o uso de patins, assim, será reservado espaço adequado a cadeirantes, e parte da primeira fila","","MARCEL STÜRMER- uma fábula sobre patins","***428060**","Mecenato","Teatro","090306","",414334.0,"Em 2008, além das competições oficiais em que representou o Brasil e trouxe títulos inéditos como no Campeonato Mundial de patinação artística, Marcel Stürmer dirigiu, produziu e atuou num espetáculo","O Projeto Marcel Stürmer- uma fábula sobre patins, consiste na produção de um espetáculo teatral baseado na fábula João e Maria. O espetáculo infantil utilizará atores e patinadores, tendo como protagonista, no papel de João o bicampeão panamericano de patinação artística, Marcel Stürmer. O espetáculo fará itinerância por 10 cidades do Rio grande do Sul e contará com elenco de 25 pessoas.",464834.0,"","Lajeado","2009-12-30","RS","","Em cada cidade de realização do espetáculo, haverá uma apresentação inteiramente gratuita, de modo a possibilitar que crianças em situação de vulnerabilidade possam também encantar-se com a magia do t",414334.0,"Marcel Ruschel Sturmer","09","2009-07-15",0.0,464834.0
"Etapa 1 –  Janeiro, Fevereiro , Março, Abril/2009 Elaboração projeto Lei Rouanet; Tradução/Adaptação do texto; Aprovação do projeto na Lei Rouanet. Buscar parcerias junto as empresas patrocinadoras/c","Ofício n. 4828/2011 - CGAA/DIC/SEFIC/MINC de 13/06/2011 &#x2013; Projeto ARQUIVADO, em conformidade com a Instrução Normativa n. 01 de 05/10/2010, art. 50 e 78a.","Artes Cênicas","Artigo 18","2.1. Objetivo   Montagem teatral da Farsa, de Willian Shakespeare: “Noite de Reis” Tradução de Beatriz Viégas-Faria  Direção e Concepção  de Amir Haddad  Produção de Julia Catelli.   Estréia no Rio","","Arquivado - por excesso de prazo sem captação",0.0,"A proponente pretende buscar  espaços  com acessibilidade a idosos e pessoas com mobilidade reduzida ou deficiência física . Caso o espaço não possua este tipo de acesso,  iremos propor aos responsáve","","NOITE DE REIS","02952777000181","Mecenato","Teatro","090307","",1251250.0,"Noite de Reis, é um texto que tem uma comunicação direta e clara com espectador, é uma farsa teatral,  onde seus versos e suas rimas conseguem envolver  o público de qualquer classe social  e idade, d","Montagem e temporada da peça teatral Noite de Reis, de Shaskespear, com direção de Amir Haddad e produção de Júlia Catelli. Noite de reis é considerada a comédia mais bem escrita por Shakespeare . É um texto que tem uma comunicação direta e clara com espectador, onde seus versos e suas rimas, conseguem envolver o público de qualquer idade, do começo ao fim.",1355250.0,"","São Paulo","2009-10-30","SP","","1. Ensaios aberto   Será realizado ensaios geral  aberto (gratuíto) exclusivamente para alunos da rede pública de ensino. Iremos contactar a Secretaria de Educação para que possa selecionar as escol",1251250.0,"Sol Produções Artísticas Ltda.","09","2009-05-04",0.0,1355250.0
"1- Etapa de Pesquisa Em que pese haja uma quantidade significatva, tanto em conteúdo quanto em qualidade de material, organizados e arquivados que recontam a trajetória da moda desde os anos 50, haver","Ofício n. 4944/2011 - CGAA/DIC/SEFIC/MINC de 16/06/2011 &#x2013; Projeto ARQUIVADO, em conformidade com a Instrução Normativa n. 01 de 05/10/2010, art. 50 e 78a","Humanidades","Artigo 18","Objetivo Geral   Retratar em uma publicação que se configure num deleite estético e referência nacional, a história  e a cultura da moda produzida pelo Estilista Rui Spohr em 60 anos de alta costura n","","Arquivado - por excesso de prazo sem captação",0.0,"Na presente proposta  foi planejada a questão da acessibilidade em termos da participação de portadores de deficiência terem seu acesso ao evento de lançamento do Livro, no qual ocorrerá uma Exposição","","Livro A sofisticada originalidade do simples","***390620**","Mecenato","Edição de Livros","090308","",249259.0,"Atualmente o sistema da moda alavanca a economia da indústria de transformação, onde o Brasil posiciona-se como o sexto maior produtor  têxtil do mundo e a moda representa 3,5 % do PIB total do país e","A proposta em tela consiste na publicação de uma Obra que se configure num deleite estético e referência nacional, a história e a cultura da moda produzida pelo Estilista Rui Spohr em 60 anos de alta costura no sul do Brasil. Tiragem prevista 3000 exemplares.",394460.6,"","Porto Alegre","2010-08-31","RS","","O objeto deste projeto é um Livro de referência nacional acerca da história da moda, assim previu-se a distribuição de 100 exemplares a Bibliotecas de Universidades, como forma de disponibilizá-la a u",249259.0,"Doris Spohr","09","2010-01-01",0.0,394460.6
"Realização do evento denominado Caixa de Surpresas durante 2 semanas do mês de junho, de sexta-feira a domingo, nas datas:  5,6,7,12,13,14 e 29  de junho de 2009 1ª fase: abril/2009  1.    Elaborar a","Prestação de contas aprovada conforme Portarias 598 de 28/09/2016, publicada no DOU 188 de 29/09/2016.","Patrimônio Cultural","Artigo 18","Voltado para apoiar os grupos folclóricos maranhenses, o CAIXA DE SURPRESAS tem sido um agente sócio-econômico, estimulando o comércio informal que se forma em torno do local do evento, como também um","","Prestação de Contas Aprovada",0.0,"O Caixa de Surpresas é sempre realizado locais públicos e abertos, sendo que na maioria dos bairros e municípios o evento acontece em praças ou logradouros. A Coordenação do evento, delimita sempre u",""," Evento Caixa de Surpresas","04188865000184","Mecenato","Artesanato de valor cultural (origem tradicional)","090309","",686000.0,"O evento CAIXA DE SURPRESAS realizado em 2004, 2005, 2006, 2007 e 2008 consagrou-se junto à população maranhense, durante o período de realização, nas duas primeiras semanas de junho (sexta a domingo)","Seguindo para a sua quinta edição, o evento CAIXA DE SURPRESAS 2009 acontece no período dos festejos juninos,nos dias 5,6,7,12,13,14 e 29.Reunindo os mais representativos grupos folclóricos do Estado, como o Bumba-meu-boi, sotaques de Orquestra, Zabumba, Matraca e Costa de Mão, Cacuriá, Quadrilhas, Dança do Coco, Dança do Lelê, Dança Portuguesa e Tambor-de-Crioula, numa mostra da força e da diversidade da cultura maranhense.O evento acontece em bairros carentes da cidade de São Luís-MA.",864400.0,"","São Luís","2009-06-29","MA","","O evento é realizado em espaços abertos e não possui, nenhuma área restrita paga, sendo assim o acesso é livre para participação do público no evento.",686000.0,"Associação dos Amigos do Bom Menino das Merces","09","2009-06-05",600000.0,864400.0
"Etapa 1 –Preparação e Pré- Produção   Data de início :15/06/2009                      Data final: 15/07/2009 Contratação dos profissionais envolvidos no projeto: Equipe de criação, mapeamento,promoção","Ofício n. 8748/2011 - CGAA/DIC/SEFIC/MINC de 03/11/2011 &#x2013; Projeto ARQUIVADO, em conformidade com a Instrução Normativa n. 01 de 05/10/2010, art. 50 e 78a.","Música","Artigo 26","O show tem como objetivo reunir todas aquelas pessoas que apreciam músicas de qualidade,sendo tocadas por um seleto grupo de excelentes músicos e cantores. O espetáculo faz um “tour” pelo cinema, teat","","Arquivado - atingiu 24 meses de aprovação sem captação de recursos",0.0,"Acessibilidade significa não apenas permitir que pessoas com deficiências participem das atividades que incluem o uso de produtos, serviços e informações, mas a inclusão e extensão do uso destes por t","","Estrelas in Concert","08325310000198","Mecenato","Música Popular Cantada","090310","",275800.0,"Estrelas in Concert é um show de músicas que marcaram épocas e trazem à tona as mais belas lembranças.","Alessandra Verney e Maurício Baduh uniram-se com o único intuito de cantar músicas consagradas na história, reunindo sucessos de Nat King Cole, Elvis, Chico Buarque, Sinatra, Roberto Carlos, entre outros. O show Estrelas in Concert é a consagração do talento dessas duas pessoas nos palcos, no estilo clássico romântico, de forma intensa e empolgante. Agrada o público de todas as gerações e gostos musicais.",280316.0,"","Rio de Janeiro","2009-12-23","RJ","","O projeto terá uma taxa acessível para a população, além da divulgação em escolas públicas e descontos para estudantes da rede pública de ensino e idosos. O musical é de fácil entendimento não havendo",275800.0,"Vamoqvamo Entretenimentos Ltda","09","2009-06-15",0.0,280316.0
